"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"1","residential burglary","d4","2012","7","sunday","aberdeen st","42.34638135"," -71.10379454"
"2","aggravated assault","b2","2012","7","sunday","howard av","42.31684135"," -71.07458456"
"3","robbery","d4","2012","7","sunday","jersey st","42.34284135"," -71.09698955"
"4","robbery","e18","2012","7","sunday","collins st","42.27051636"," -71.11989955"
"5","robbery","c11","2012","7","sunday","sydney st","42.31328183"," -71.0530059"
"6","robbery","b2","2012","7","sunday","regent st","42.32425136"," -71.08620956"
"7","residential burglary","b3","2012","7","sunday","catbird court","42.28813781"," -71.0948495"
"8","aggravated assault","c6","2012","7","sunday","w broadway","42.33614915"," -71.0467171"
"9","robbery","c11","2012","7","sunday","fuller st","42.28245637"," -71.06981457"
"10","aggravated assault","c6","2012","7","sunday","w broadway","42.33614915"," -71.0467171"
"11","robbery","b2","2012","7","sunday","shawmut av","42.33326635"," -71.08299956"
"12","aggravated assault","b2","2012","7","sunday","langdon st","42.32542135"," -71.06966956"
"13","residential burglary","e18","2012","7","sunday","hallron st","42.26850953"," -71.12883588"
"14","robbery","b2","2012","7","sunday","warren st","42.31335135"," -71.08361455"
"15","aggravated assault","d14","2012","7","sunday","tremont st","42.35120135"," -71.17311952"
"16","aggravated assault","b3","2012","7","sunday","norfolk st","42.28820136"," -71.07680956"
"17","aggravated assault","b3","2012","7","sunday","whitman st","42.28702136"," -71.07707955"
"18","aggravated assault","c11","2012","7","sunday","hamilton st","42.30815635"," -71.06966456"
"19","residential burglary","e18","2012","7","sunday","child st","42.25678059"," -71.12916296"
"20","aggravated assault","a1","2012","7","monday","tremont st","42.34969134"," -71.06520956"
"21","aggravated assault","b3","2012","7","monday","norfolk st","42.28424136"," -71.08112956"
"22","residential burglary","d4","2012","7","monday","tremont st","42.34111635"," -71.07693456"
"23","residential burglary","d4","2012","7","monday","tremont st","42.34111635"," -71.07693456"
"24","residential burglary","c11","2012","7","monday","midland st","42.31135135"," -71.05460457"
"25","aggravated assault","d4","2012","7","monday","w springfield st","42.33794635"," -71.07750455"
"26","robbery","d4","2012","7","monday","washington st","42.34445634"," -71.06560956"
"27","robbery","d14","2012","7","monday","commonwealth av","42.35061784"," -71.12851965"
"28","aggravated assault","b3","2012","7","monday","blue hill av","42.26867137"," -71.09379956"
"29","robbery","d14","2012","7","monday","glenville av","42.35047863"," -71.13290212"
"30","robbery","e18","2012","7","monday","hyde park av","42.25332425"," -71.12466158"
"31","robbery","b3","2012","7","monday","talbot av","42.29041636"," -71.07270956"
"32","residential burglary","e5","2012","7","monday","metropolitan av","42.27931764"," -71.12993814"
"33","residential burglary","e13","2012","7","monday","northbourne rd","42.29173624"," -71.11528811"
"34","robbery","e18","2012","7","monday","washington st","42.24662137"," -71.11893955"
"35","residential burglary","e18","2012","7","monday","summer st","42.25862165"," -71.12519913"
"36","aggravated assault","b3","2012","7","monday","jacob st","42.28537261"," -71.0835041"
"37","residential burglary","a1","2012","7","monday","wiget st","42.36396134"," -71.05597956"
"38","robbery","a7","2012","7","monday","border st","42.37619134"," -71.03980956"
"39","aggravated assault","b2","2012","7","monday","w cottage st","42.32042135"," -71.07776956"
"40","aggravated assault","c6","2012","7","tuesday","boston st","42.32501543"," -71.05924631"
"41","robbery","d14","2012","7","tuesday","commonwealth av","42.34505135"," -71.14232954"
"42","aggravated assault","d4","2012","7","tuesday","e lenox st","42.33455599"," -71.07818596"
"43","residential burglary","a1","2012","7","tuesday","washington st","42.34809134"," -71.06420956"
"44","residential burglary","b3","2012","7","tuesday","darlington st","42.28928136"," -71.07583456"
"45","residential burglary","b3","2012","7","tuesday","babson st","42.27080515"," -71.09260083"
"46","aggravated assault","c11","2012","7","tuesday","hancock st","42.31282136"," -71.06476957"
"47","robbery","e18","2012","7","tuesday","american legion hy","42.28405295"," -71.11241077"
"48","aggravated assault","b2","2012","7","tuesday","washington st","42.32888135"," -71.08506956"
"49","aggravated assault","b2","2012","7","tuesday","malcolm x bl","42.32997135"," -71.08690455"
"50","aggravated assault","b2","2012","7","tuesday","malcolm x bl","42.32997135"," -71.08690455"
